,open,high,low,close,volume
2024-04-04,523.64,523.8674,512.755,513.06,96497260.0
2024-04-03,517.72,520.95,517.665,519.41,58385823.0
2024-04-02,518.24,518.98,516.48,518.84,72924463.0
2024-04-01,523.83,524.38,520.97,522.16,61182995.0
2024-03-28,523.21,524.61,522.78,523.07,96294886.0
2024-03-27,521.71,523.21,519.485,523.17,82999777.0
2024-03-26,521.23,521.58,518.4,518.81,65463744.0
2024-03-25,519.8,520.95,519.61,519.77,48512108.0
2024-03-22,522.11,522.605,520.97,521.21,79070842.0
2024-03-21,523.39,524.11,521.91,522.2,60256112.0
2024-03-20,515.77,520.62,515.08,520.48,69594574.0
2024-03-19,512.15,515.995,511.12,515.71,60755263.0
2024-03-18,514.0,515.48,512.44,512.86,88893331.0
2024-03-15,510.21,511.7,508.122,509.83,107646297.0
2024-03-14,516.97,517.125,511.82,514.95,103493184.0
2024-03-13,517.11,517.29,514.49,515.97,54438487.0
2024-03-12,513.45,517.38,510.86,516.78,70833119.0
2024-03-11,510.48,511.88,508.5,511.28,61872913.0
2024-03-08,515.46,518.2201,511.13,511.72,86532535.0
2024-03-07,513.14,515.89,509.8053,514.81,58652085.0
2024-03-06,510.55,512.069,508.42,509.75,68382367.0
2024-03-05,510.24,510.7,504.91,507.18,72855623.0
2024-03-04,512.03,514.2,512.0,512.3,49799257.0
2024-03-01,508.98,513.29,508.56,512.85,76844844.0
2024-02-29,508.07,509.74,505.35,508.08,83924795.0
2024-02-28,505.33,506.855,504.96,506.26,56506634.0
2024-02-27,506.7,507.16,504.75,506.93,48854528.0
2024-02-26,508.3,508.75,505.86,505.99,50386738.0
2024-02-23,509.27,510.13,507.1,507.85,61321818.0
2024-02-22,504.01,508.49,503.02,507.5,76402535.0
2024-02-21,495.42,497.37,493.56,497.21,59603771.0
2024-02-20,497.72,498.41,494.45,496.76,71736740.0
2024-02-16,501.7,502.87,498.75,499.51,75532928.0
2024-02-15,499.29,502.2,498.795,502.01,61682960.0
2024-02-14,496.79,499.07,494.4,498.57,68387827.0
2024-02-13,494.53,497.09,490.715,494.08,113099199.0
2024-02-12,501.17,503.5,500.24,500.98,56502283.0
2024-02-09,498.84,501.65,498.49,501.2,63979375.0
2024-02-08,498.1,498.71,497.26,498.32,52343636.0
2024-02-07,496.29,498.53,495.36,498.1,70556506.0
2024-02-06,493.52,494.32,492.05,493.98,55918602.0
2024-02-05,493.695,494.3778,490.23,492.55,75757102.0
2024-02-02,489.65,496.05,489.3,494.35,99228192.0
2024-02-01,484.63,489.23,483.8,489.2,91891637.0
2024-01-31,488.62,489.0813,482.86,482.88,126011062.0
2024-01-30,490.56,491.62,490.11,490.89,58618386.0
2024-01-29,487.73,491.415,487.17,491.27,61322751.0
2024-01-26,487.59,489.12,486.54,487.41,76641609.0
2024-01-25,487.575,488.305,485.39,488.03,72524989.0
2024-01-24,487.81,488.77,484.8819,485.39,80222006.0
2024-01-23,484.01,485.105,482.89,484.86,49945297.0
2024-01-22,484.01,485.22,482.78,483.45,75844931.0
2024-01-19,477.65,482.72,476.5374,482.43,110834483.0
2024-01-18,474.01,477.06,472.42,476.49,91856248.0
2024-01-17,471.82,472.79,469.87,472.29,68843871.0
2024-01-16,475.26,476.6098,473.06,474.93,85014870.0
2024-01-12,477.84,478.6,475.23,476.68,58026420.0
2024-01-11,477.59,478.12,472.26,476.35,77940723.0
2024-01-10,474.16,477.4481,473.87,476.56,67310640.0
2024-01-09,471.87,474.93,471.35,473.88,65931439.0
2024-01-08,468.43,474.75,468.3,474.6,74879074.0
2024-01-05,467.49,470.44,466.43,467.92,85553758.0
2024-01-04,468.3,470.96,467.05,467.28,84232169.0
2024-01-03,470.43,471.19,468.17,468.79,103585866.0
2024-01-02,472.16,473.67,470.49,472.65,123007793.0
2023-12-29,476.49,477.03,473.3,475.31,122283149.0
2023-12-28,476.88,477.55,476.26,476.69,77158116.0
2023-12-27,475.44,476.66,474.89,476.51,63874396.0
2023-12-26,474.07,476.58,473.99,475.65,55386952.0
2023-12-22,473.86,475.38,471.7,473.65,67160419.0
2023-12-21,471.33,472.975,468.84,472.7,86667465.0
2023-12-20,473.96,475.895,467.82,468.26,102920959.0
2023-12-19,472.53,474.92,472.45,474.84,52024922.0
2023-12-18,470.98,472.98,469.8929,471.97,70375285.0
2023-12-15,469.49,470.7,467.4263,469.33,141553673.0
2023-12-14,472.5,473.73,469.25,472.01,119026049.0
2023-12-13,464.49,470.7599,464.12,470.5,93277960.0
2023-12-12,461.63,464.2,460.6,464.1,68327617.0
2023-12-11,459.69,462.17,459.47,461.99,65002247.0
2023-12-08,457.46,460.745,457.21,460.2,83194404.0
2023-12-07,456.91,458.9,456.29,458.23,66995446.0
2023-12-06,458.81,458.84,454.31,454.76,67701116.0
2023-12-05,455.26,457.59,454.87,456.6,69793469.0
2023-12-04,455.6,459.1206,454.34,456.69,72430888.0
2023-12-01,455.77,459.65,455.16,459.1,89183400.0
2023-11-30,455.48,456.76,453.34,456.4,79752700.0
2023-11-29,457.15,458.32,454.2,454.61,63145992.0
2023-11-28,454.08,456.27,453.5,454.93,62115011.0
2023-11-27,454.65,455.4901,454.0799,454.48,50505985.0
2023-11-24,455.07,455.5,454.73,455.3,29737375.0
2023-11-22,454.98,456.38,453.8895,455.02,59446573.0
2023-11-21,453.1842,454.131,451.9599,453.27,49244639.0
2023-11-20,450.53,455.125,450.52,454.26,70055633.0
2023-11-17,450.24,451.42,449.29,450.79,83193902.0
2023-11-16,449.22,450.56,448.12,450.23,66665797.0
2023-11-15,450.11,451.38,448.8,449.68,77327573.0
2023-11-14,446.32,450.06,446.09,448.73,97176935.0
2023-11-13,439.23,441.33,438.42,440.19,52236068.0
2023-11-10,435.98,440.93,433.8335,440.61,89558054.0
2023-11-09,438.43,438.47,433.4,433.84,83174417.0
